titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem
-,"Maurício estava feliz da vida, comendo um delicioso sorvete. Até aí nenhum problema, certo? Acontece que era quase hora do almoço! Quando sua mãe viu, ficou muito brava: – Maurício! Seu pai já não falou para você não comer sorvete perto da hora do almoço?! – Mas, mãe… – Mas nada! Você fica se enchendo de besteiras e, na hora de almoçar, nem encosta na comida! – Mas, mãe… – Obedeça à ordem do seu pai! – Tudo bem… Percebendo que Maurício tinha ficado meio triste com a bronca, sua mãe decide tentar alguma coisa para animá-lo: – Maurício, meu querido, por que a gente não brinca um pouco até a hora de comer? – Ótima ideia, mãe! – E do que você quer brincar? – De papai e mamãe. – Legal! Você é o papai e eu sou a mamãe… – Isso mesmo! E, como agora eu sou o papai, declaro que, desse momento em diante, meu amado filho Maurício pode comer sorvete na hora que ele quiser!",D22 - Reconhecer efeitos de humor e ironia.,Esse texto é engraçado porque,c,Maurício aproveitou a brincadeira para tentar comer sorvete.,"[' a mãe de Maurício ficou brava.', 'a mãe de Maurício sugeriu uma brincadeira para animar seu filho.\r', 'Maurício aproveitou a brincadeira para tentar comer sorvete.', ' Maurício ficou triste com a bronca da mãe.']",6° ano,SPAECE,Avaliação paraná
Não era bem isso,"Beto entra em uma loja e fala para a atendente: – Eu quero comprar um celular novo. Ela, então, pergunta: – Modelo? – Não, eu sou arquiteto. Mas muito obrigado pelo elogio.",D22 - Reconhecer efeitos de humor e ironia.,"Esse texto é engraçado, porque Beto",c,entende a pergunta como profissão.,"['deseja comprar um celular novo.', 'entra em uma loja desconhecida.', 'entende a pergunta como profissão.', 'está indeciso sobre qual celular comprar.\r']",6° ano,SPAECE,Avaliação paraná
O emprego novo,"A mãe do rapaz reclama com ele: “Você não deveria começar hoje no emprego novo? O que ainda está fazendo na cama?” E o rapaz: “É que o patrão disse que eu poderia começar por onde eu quisesse. Então, resolvi começar pelas férias.”",D22 - Reconhecer efeitos de humor e ironia.,O que torna esse texto engraçado é,a,a decisão do rapaz de começar pelas férias.,"['a decisão do rapaz de começar pelas férias. ', 'a reclamação da mãe do rapaz.\r', 'o patrão deixar o rapaz escolher por onde começar.\r', 'o rapaz ainda estar na cama no primeiro dia de trabalho.']",6° ano,SPAECE,Avaliação paraná
Alô... é do hospital?,"Toca o telefone na recepção do hospital: – Bom dia, é da recepção? Eu gostaria de falar com alguém que me desse informações sobre os pacientes. Queria saber se certa pessoa está melhor ou piorou... – Qual é o nome do paciente? – Chama-se Maria Isabel e está no quarto 302. – Um momentinho, vou transferir a ligação para o setor de enfermagem... – Bom dia, sou a enfermeira Lourdes. O que deseja? – Gostaria de saber as condições clínicas da paciente Maria Isabel do quarto 302, por favor! – Um minuto, vou localizar o médico de plantão. – Aqui é o Dr. Carlos plantonista. Em que posso ajudar? – Olá, doutor. Precisaria que alguém me informasse sobre a saúde de Maria Isabel que está internada há três semanas no quarto 302. – Ok, minha senhora, vou consultar o prontuário da paciente... Um instante só! Hummm, aqui está: ela se alimentou bem hoje, a pressão arterial e pulso estão estáveis, responde bem à medicação prescrita e vai ser retirada do monitor cardíaco até amanhã. Continuando bem, o médico responsável assinará alta em três dias. – Ahhhh, Graças a Deus! São notícias maravilhosas! Que alegria! – Pelo seu entusiasmo, deve ser alguém muito próximo, certamente da família?! – Não, sou a própria Maria Isabel, telefonando aqui do 302! É que todo mundo entra e sai do quarto mas ninguém me diz nada!!!",D22 - Reconhecer efeitos de humor e ironia.,Esse texto é engraçado porque,c,a própria paciente liga para o hospital para saber do seu estado de saúde.,"['a enfermeira não sabia onde estava o médico de plantão', 'a ligação da paciente foi transferida para vários setores.', 'a própria paciente liga para o hospital para saber do seu estado de saúde.', 'a recepcionista do hospital não conhece o estado de saúde dos pacientes.']",9° ano,SPACE,Avaliação paraná
Tradução simultânea,"Sou professor de inglês em Taiwan e tenho uma colaboradora chinesa que traduz quando os alunos não entendem o que digo. No início de cada semestre, conto piadas para que os calouros se sintam à vontade. Para saber se entendiam bem, perguntei à minha colaboradora se traduzia palavra por palavra, ou apenas o sentido geral. – Bem, na verdade, não entendo suas piadas – respondeu ela –, então peço aos alunos que riam.",D22 - Reconhecer efeitos de humor e ironia.,O que tornou esse texto engraçado foi,b,a chinesa ter pedido aos alunos que rissem.,"['a curiosidade do professor sobre os alunos.', 'a chinesa ter pedido aos alunos que rissem.', 'o professor lecionar inglês em Taiwan.', 'o professor ter uma colaboradora chinesa.']",9° ano,SPACE,Avaliação paraná
ABC,"Quando a gente aprende a ler, as letras, nos livros, são grandes. Nas cartilhas – pelo menos nas cartilhas do meu tempo – as letras eram enormes. Lá estava o A, como uma grande tenda. O B, com seu grande busto e sua barriga ainda maior. O C, sempre pronto a morder a letra seguinte com a sua grande boca. O D, com seu ar próspero de grão-senhor. Etc. Até o Z, que sempre me parecia estar olhando para trás. Talvez porque não se convencesse que era a última letra do alfabeto e quisesse certificar-se de que atrás não vinha mais nenhuma. As letras eram grandes, claro, para que decorássemos a sua forma. Mas não precisavam ser tão grandes. Que eu me lembre, minha visão na época era perfeita. Nunca mais foi tão boa. E no entanto os livros infantis eram impressos com letras graúdas e entrelinhas generosas. E as palavras eram curtas. Para não cansar a vista. À medida que a gente ia crescendo, as letras iam diminuindo. E as palavras, aumentando. Quando não se tem mais uma visão de criança é que se começa, por exemplo, a ler jornal, com seus tipos miúdos e linhas apertadas que requerem uma visão de criança. Na época em que começamos a prestar atenção em coisas como notas de pé de página, bulas de remédio e subcláusulas de contrato, já não temos mais metade da visão perfeita que tínhamos na infância [...]. Chegamos à idade de ler grossos volumes em corpo 1 6 quando só temos olhos para as letras gigantescas, coloridas e cercadas de muito branco, dos livros infantis. Quanto mais cansada a vista, mais exigem dela. Alguns recorrem à lente de aumento para seccionar as grandes palavras em manejáveis monossílabos infantis. [...] O E, que sempre parecia querer distância das outras. O R! Todas as letras tinham pé, mas o R era o único que chutava. O V, que aparecia em várias formas: refletido na água (o X), de muletas (o M), com o irmão siamês (o W). O Q, que era um O com a língua de fora. De tanto ler palavras, nunca mais reparamos nas letras. E de tanto ler frases, nunca mais notamos as palavras, com todo o seu mistério. Por exemplo: pode haver palavra mais estranha do que “esdrúxulo”? É uma palavra, sei lá. Esdrúxula. [...] As cartilhas, com sua alegre simplicidade, serviam para dissimular os terrores que a língua nos reservava. Como “esdrúxulo”. Para não falar em “autóctone”. Ou, meu Deus, em “seborreia”! Na verdade, acho que as crianças deviam aprender a ler nos livros do Hegel e em longos tratados de metafísica. Só elas têm a visão adequada à densidade do texto, o gosto pela abstração e tempo disponível para lidar com o infinito. E na velhice, com a sabedoria acumulada numa vida de leituras, com as letras ficando progressivamente maiores à medida que nossos olhos se cansavam, estaríamos então prontos para enfrentar o conceito básico de que vovô vê a uva, e viva o vovô. [...]",D22 - Reconhecer efeitos de humor e ironia.,"Nesse texto, há um traço de ironia no trecho:
",d,"“... na velhice [...] com as letras ficando progressivamente maiores [...] estaríamos então prontos para enfrentar o conceito básico de que vovô vê a uva, e viva o vovô.”.","['“Quando a gente aprende a ler, as letras, nos livros, são grandes.”.', '“As letras eram grandes, claro, para que decorássemos a sua forma. Mas não precisavam ser tão grandes. [...] E as palavras eram curtas.”.', '“À medida que a gente ia crescendo, as letras iam diminuindo.”.', '“... na velhice [...] com as letras ficando progressivamente maiores [...] estaríamos então prontos para enfrentar o conceito básico de que vovô vê a uva, e viva o vovô.”.']",9° ano,SPACE,Avaliação paraná
A pesquisadora do IBGE e o minerim…,"Uma pesquisadora do IBGE bate à porta de um sitiozinho escondido no sul de Minas (perto de Varginha). — Essa terra dá mandioca? — Não, senhora. – Responde o roceiro. — Dá batata? — Também não, senhora! — Dá feijão? — Nunca deu! — Arroz? — De jeito nenhum! — Milho? — Nem brincando! — Quer dizer que por aqui não adianta plantar nada? — Ah! … Se prantá é diferente…",D22 - Reconhecer efeitos de humor e ironia.,Há traços de humor no trecho:,d,“— Ah! … Se prantá é diferente…”,"['“— Essa terra dá mandioca?”', '“— Também não, senhora!”', '“— Quer dizer que por aqui não adianta plantar nada?”', '“— Ah! … Se prantá é diferente…” ']",9° ano,SPAECE,Simulado 01 SPAECE
Canastra das velhinhas,"Duas velhinhas, bem velhinhas estão jogando sua canastra semanal. Uma delas olha para a outra e diz: — Por favor, não me leve a mal. Nós somos amigas há tanto tempo e agora eu não consigo me lembrar do seu nome, veja só a minha cabeça. Qual é o seu nome, querida? A outra olha fixamente para a amiga, por uns dois minutos, coça a testa e diz: — Você precisa dessa informação para quando?",D22 - Reconhecer efeitos de humor e ironia.,Esse texto é engraçado porque,b,a outra velhinha também esquece o próprio nome.,"['a outra velhinha olha fixamente para a amiga.', 'a outra velhinha também esquece o próprio nome.\r', 'as duas velhinhas esquecem as regras do jogo.', 'as duas velhinhas estão jogando canastra.\r']",9° ano,SPAECE,Simulado 01 SPAECE
Pescador Executivo,"O executivo da empresa estava trabalhando muito estressado. O médico recomendou que fosse pescar num local bem tranquilo. Foi então para uma roça bem pacata, levando varal, anzol e minhocas. Começou a pescar e um caipira que morava ali perto se agachou no chão, espiando curioso a pescaria. Três horas de monótona pescaria e o caboclo continuava lá, agachado, espiando curioso. Mais cinco horas de pescaria e o caipira continuava lá, olhando tudo. O executivo ficou com dó do caipira e perguntou: — O senhor está com vontade de pescar um pouquinho? E o caipira responde: — Num tenho paciência não, sô!",D22 - Reconhecer efeitos de humor e ironia.,"Nesse texto, um trecho que apresenta humor é:",d,"“ — Num tenho paciência não, sô!”","['“Três horas de monótona pescaria e o caboclo continuava lá...”', '“O executivo ficou com dó do caipira...”', '“— O senhor está com vontade de pescar um pouquinho?” ', '“ — Num tenho paciência não, sô!” ']",9° ano,SPAECE,Simulado 01 SPAECE
Anestesia,"O dentista, preocupado pela rejeição quase total de seus clientes à injeção de anestesia na gengiva, bolou uma maneira diferente de extrair os dentes, baseado em que uma dor inesperada faz esquecer outra dor. Para isso instalou na cadeira do dentista uma agulha oculta acionada por um pedal. No momento exato de dar o puxão para arrancar o dente, ele apertava o pedal e a agulha atingia o bumbum do paciente. Chegou o primeiro paciente para extrair um dente, que logo mostrou seu temor à injeção na gengiva. — Olhe, eu inventei uma maneira diferente de arrancar um dente sem a injeção na gengiva - explicou o dentista. - Se quiser posso usá-la com o senhor. — Pode! Qualquer coisa menos essa danada injeção! O médico, então, sem entrar em detalhes sobre o novo método, preparou tudo e na hora de dar o puxão, apertou o pedal. O cliente deu um pequeno pulo e o dente foi extraído. — Como é? - perguntou o dentista depois de estancar o sangue. - Doeu? — Nada, doutor! Mas, puxa! Tinha uma raiz um bocado profunda!",D22 - Reconhecer efeitos de humor e ironia.,O humor do texto está presente no fato de,c,o paciente insinuar que a raiz do dente tinha atingido seu bumbum.,"['o dentista não explicar direito sobre o novo método criado por ele.', 'o dentista preocupar-se com a opinião de seus pacientes.', 'o paciente insinuar que a raiz do dente tinha atingido seu bumbum.', 'o paciente rejeitar o método diferente de extrair dente.']",9° ano,SPAECE,Simulado 01 SPAECE
Etapa Lindeiros dos Jogos de Aventura e Natureza inicia nesta sexta-feira,"Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná (Jans). A competição será disputada em sete municípios com 10 modalidades em disputa até domingo (28). Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, 5 Terra Roxa e Missal serão as sedes do evento, recebendo competições de vôlei de praia, [...] canoagem de velocidade, pesca, futevôlei, skate, [...] e o futebol das estrelas. Para o diretor de Inovação da Superintendência do Esporte, Tiago Campos, o retorno dos jogos representa mais do que a volta das competições esportivas. “Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste. 10 Vamos fomentar o turismo dos municípios com modalidades de terra, água e ar, mostrando as características dos Jogos de Aventura e Natureza”, disse. [...] JANS – A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza em um evento itinerante, que beneficiou a população paranaense esportivamente e economicamente. Os Jogos de 15 Aventura e Natureza são realizados pelo Governo do Paraná por meio da Superintendência Geral do Esporte, com o apoio dos municípios-sede.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “A competição será disputada em sete municípios...” o verbo
""será"" produz o sentido de",a,apontar ação que ainda irá acontecer.,"['apontar ação que ainda irá acontecer.', 'mostrar fatos que estão em andamento.', 'revelar ordem dada pelo autor.', 'sinalizar acontecimentos concluídos.']",7° ano,SPAECE,Avaliação paraná
Papinha? Que nada!,"O que é, o que é: vem da fêmea, é nutritivo e alimenta os filhotes. Leite? Que nada: pele de mãe. Esse parece ser o alimento que uma grande parte das espécies de cobras-cegas (também conhecidas como cecílias) consome ao nascer. Uma delas, aliás, é brasileira, como descobriram cientistas do nosso país. Trata-se da Siphonops annulatus. Como a africana Boulengerula taitanus, essa espécie – que parece uma grande minhoca – é um anfíbio e vive no subsolo. Saber por que esses bichos, que estão em continentes diferentes, têm a mesma forma de alimentar seus filhotes é o desafio dos cientistas. [...] Existem espécies de cobra-cega que são ovíparas – isto é, que põem ovos – e espécies de cobra-cega que são víviparas – ou seja, que não põem ovos e têm filhotes que já nascem com a forma dos adultos. O curioso hábito de os filhotes comerem a pele da própria mãe parece ser a principal diferença entre as espécies ovíparas e as vivíparas. [...] Para arrancar a pele da mãe, os filhotes de S. annulatus contam também com dentes especiais, que têm a forma semelhante a pequenas colheres. Porém, não pense que a fêmea fica sem a camada da pele para sempre. À medida que os filhotes vão se alimentando, essa pele vai se renovando, mais ou menos a cada três dias. Depois de um mês e meio, quando termina a nutrição da ninhada, a pele se regenera totalmente, voltando à cor cinza escuro.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o prefixo “re-” na palavra “renovando” foi usado para",b,indicar repetição.,"['apontar aproximação.', 'indicar repetição.', 'marcar anterioridade.', 'sugerir movimento.\r']",7° ano,SPAECE,Avaliação paraná
"Filhote de onça­parda é encontrado em Loanda, no noroeste do Paraná","Um filhote de onça­parda foi encontrado na área rural de Loanda, no noroeste do Paraná, na noite deste sábado (19). O animal estava nas proximidades de uma plantação de cana e foi recolhido por um trabalhador rural. De acordo com a Polícia Ambiental, a oncinha é recém­nascida e, provavelmente, tem menos do que uma semana de vida. Sem nenhum ferimento, ela foi encaminhada neste domingo (20) para a fazenda Green Farm, no Mato Grosso do Sul, onde poderá receber os cuidados necessários. A Polícia Ambiental orienta que os filhotes de animais selvagens não sejam retirados imediatamente do local em que são encontrados, pois a mãe pode voltar para buscá­los. O Puma concolor, comumente conhecido como onça­parda, puma, suçuarana ou leão­baio, é o segundo maior felino do Brasil e está amplamente distribuído pelo país. [...] Por ser ilegal manter ou cuidar de espécies selvagens sem licença e até mesmo perigoso se aproximar de alguns deles, entrar em contato com os órgãos responsáveis é o primeiro passo que deve ser seguido caso alguém se depare com um animal selvagem. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Por ser ilegal manter ou cuidar de espécies selvagens...” o prefixo ""i"" na palavra ""ilegal"" produz o sentido de
",a,apontar negação.,"['apontar negação.', 'indicar duplicidade.', 'marcar anterioridade.', 'sugerir repetição.']",7° ano,SPAECE,Avaliação paraná
"Aquele velho pote
","Aquele velho pote no canto da sala reporta­me a momentos únicos, vividos no Sítio Novo, onde meus avós e tios moravam, aos primos queridos que corriam junto comigo pela casa e terreiros de chão batido… Ouço o tchibum… do copo de cabo longo, pegando água geladinha dentro do pote de barro, que está todo úmido por fora porque o seu interior encontra­se gelado. Água sorvida com muito prazer, tirada com corda e carretel do poço fundo, que faz eco quando a criançada grita… Água abençoada que mata a sede da meninada suada, que corre sem parar e não cansa. As divagações surgem a qualquer tempo… a infância volta depois de cinquenta anos, a minha memória é uma caixinha com um HD em perfeito estado, e em um segundo a corrida memorial me alcança. Um pote no canto da sala e a festa de lembranças acontece. Tchibum!",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, na palavra “meninada” o sufixo ""ada"" na palavra ""meninada"" produz o sentido de",b,indicar grupo.,"['demonstrar tamanho.\r', 'indicar grupo.', 'marcar ação.', 'sugerir deboche.']",7° ano,SPAECE,Avaliação paraná
Penso e passo,Quando penso que uma palavra pode mudar tudo não fico mudo MUDO quando penso que um passo descobre um mundo não paro PASSO e assim que passo e mudo um novo mundo nasce na palavra que penso,D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"No inicio do texto, a oposição da palavra ""Mudo"" sugere",a,mudança de atitude.,"['mudança de atitude.', 'semelhança de ideias', 'surgimento de uma ideia.', 'reflexão sobre a vida.']",7° ano,SPAECE,Avaliação paraná
Maria Fumaça,"Chegava dezembro e lá vinha minha mãe me consultar a respeito da minha vontade de ir ou não passar as férias na casa da vó Ana, em Teixeira Soares, pequena cidade do interior do Paraná. Parece que ainda ouço mamãe dizer. – Carlinhos, você vai ou não passar as férias na casa da vovó? – Eba! Sim, sim, sim. Minha resposta era sempre sim. Viajar de trem era uma aventura que eu não podia perder [...]. Eu levantava muito cedo no dia da viagem. O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde eu morava, às cinco horas da manhã, ainda era escuro. E só chegava ao meu destino final à tardinha, quase noite. Durante o dia inteiro ia parando em lugarejos e cidades por onde passava para embarque e desembarque de passageiros. Sei de cor os nomes de algumas estações do caminho percorrido para a casa da minha avó [...]. A [...] locomotiva1 levava um comboio2 de vagões de carga e na parte de trás eram os vagões de passageiros. [...]. De vez em quando, passava pelos vagões um funcionário da empresa vendendo guloseimas. – Huuumm! [...] Eu gostava de imitar, meio cantarolando, o barulho das rodas de ferro nos trilhos: – Telelém... talalá... telelém ... talalá. Esse barulho acelerava ou ficava mais lento conforme a velocidade da Maria Fumaça. Pela janela via-se a locomotiva lá em frente e uma fileira de vagões fazendo curvas, atravessando florestas e paredões de rochedos. [...] Quando a Maria Fumaça se aproximava de lugarejos ou estações, o trem diminuía a velo cidade e apitava alto, parecia dizer: – Chegueeeeeiii! As pessoas que aguardavam na estação tinham os rostos festivos e cheios de expectativas. O leva e traz diário de coisas e gente, de encontros e desencontros movimentava as cidades. Era assim, quando eu [...] viajava de Maria Fumaça para a casa da minha avó, em 1965. *Vocabulário: 1 locomotiva: trem. 2comboio: conjunto de veículos.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o termo “des-” na palavra “desencontros” produz o sentido de",c,sinalizar oposição.,"['demostrar repetição.', 'indicar duplicidade.', 'sinalizar oposição.', 'revelar superioridade.']",8° ano,SPAECE,Avaliação paraná
Quem é esse Will?,"Sente-se. [...] Meu nome é Willian Leite. Sou designer gráfico, quadrinista e ilustrador. Nasci em 1986 na discreta cidade de Porecatu, no Paraná. Atualmente moro em Apucarana, ainda no Paraná. Sou formado em Publicidade e Propaganda e pós-graduado em Design, Cognição e Mídia. O design foi até aqui o meu maior ganha-pão. Mas pouco a pouco o Will Tirando vem tomando conta da minha vida. Faço tiras desde 2007. Comecei publicando nas redes sociais da vida. Meu público era minha família e meus amigos. No início as tiras tinham um estilo bem conhecido no mundo das webcomics: o stickman ou boneco palitinho. Diante de muitas críticas e da necessidade de mudança, fui adaptando meu estilo até chegar no que é hoje. Sou só mais um cartunista influenciado pelos gigantes dos quadrinhos nacionais. Meus personagens, como você pode notar, não têm nariz [...]. Isso não é só influência. Isso é opção também. Meus desenhos não são bonitos, mas são felizes. Na internet ganhei um bom espaço graças (principalmente) a sites de humor [...]. É estranho elogiar o próprio trabalho, mas atribuo a boa aceitação dos leitores ao fato desses se identificarem com o conteúdo das tiras – que quase sempre abordam temas bem populares, por ter um estilo próprio e por publicar com boa frequência. O blog já ultrapassou a marca de 1000 tiras publicadas (sem contar as tiras palitos). Outro aspecto que cativa certos leitores é a pureza que as tiras carregam. [...] Há quem diga que as tiras despertam o poder de reflexão. Não sei… não é a prioridade que tenho quando as faço. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “... ou boneco palitinho.” a terminação “-inho” na palavra ""palitinho"" produz o sentido de",d,sugerir afetividade.,"['apontar reprovação.', 'demonstrar deboche.', 'marcar incerteza.', 'sugerir afetividade.']",8° ano,SPAECE,Avaliação paraná
Suas coisas estão uma bagunça? [...],"Você já ouviu a frase: “se você sente que sua vida está bagunçada, comece arrumando suas gavetas”? Apesar de estranho, saiba que faz sentido: ordenar o exterior é um exercício para conseguir se organizar mentalmente, que pode ser com metas, objetivos ou mesmo listas de tarefas mais claras e objetivas – e, preferencialmente, que sejam possíveis de serem completadas. [...] Em determinadas situações projetamos no ambiente externo aquilo que nos incomoda, o que pode transparecer na ausência de mínima organização dos objetos, móveis, roupas, materiais etc., ou resumindo, uma bagunça. [...] cada um de nós se adapta ao ambiente externo de maneira única, portanto, alguns são aparentemente mais organizados, enquanto outros são mais desorganizados no dia a dia. Esses padrões comportamentais são comuns e não necessariamente refletem em problemas. Arrumar a bagunça externa dá um alívio, uma sensação de espaço nos conforta e a energia flui melhor. Mas, se internamente vivemos em estados de estresse, a vida vai sempre tender ao caos e logo a bagunça se instalará novamente. [...] Por isso, o ideal é buscar sempre estados interiores de alegria, paz interior, coragem, calma e gratidão que tornam possível criarmos relacionamentos harmoniosos, resultados que realmente nos satisfazem e soluções eficazes. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, na palavra “desorganizados” o prefixo em ""des"" produz o sentido de",b,negação.,"['repetição.', 'negação.', 'superioridade.', 'duplicidade.']",8° ano,SPAECE,Avaliação paraná
Praias onde vale a pena curtir o verão Prepare-se para escolher os lugares ideais para o banho de mar [...],"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"No texto, no trecho “... onde o banho de mar e a areia branquinha são uma tentação...” o uso do diminutivo no termo ""branquinha""",d,"intensifica a cor da areia.
","['demonstra afeto.', 'destaca a extensão da praia.', 'indica ironia.', 'intensifica a cor da areia.\r']",8° ano,SPAECE,Avaliação paraná
Família paranaense fatura medalha de prata em concurso de queijo mais importante do mundo,"O Paraná foi muito bem representado no Concours Mondial du Fromage et des Produits Laitiers (Concurso Mundial dos Queijos e Laticínios). A premiação aconteceu de 12 a 14 de setembro, em Tours, na França. Os produtores de leite, Marisa Alexandre Martins e Leomar Melo Martins, responsáveis pelo Sítio Aliança, localizado no município Santana do Itararé, conquistaram a medalha de prata. A grande aposta da família Martins foi o queijo Maná Concafé Gourmet, com 30 dias de maturação. “O nosso queijo é feito de leite de vaca Jersey com gordura e qualidade alta. É feito com café gourmet de altíssima qualidade e precisa de 30 dias de maturação na câmara fria. É saboroso e possui um gosto não muito forte de café”, explica Leomar. Segundo o produtor, o prêmio internacional coloca o Estado do Paraná em posição de destaque. “O Paraná está entrando no âmbito nacional e internacional, isso demonstra que temos produtos originais de qualidade e seguros. Ganhar um prêmio internacional como esse, principalmente, para nós que somos de uma pequena propriedade de agricultura familiar do Norte do Paraná, é indescritível.” ressaltou a família Martins. [...] No total, participaram da competição 940 queijos de 46 países. Destes, 183 vieram de 57 produtores brasileiros, que garantiram 57 medalhas ao país: cinco delas foram super ouro, as mais importantes da disputa. O Brasil ainda conquistou 11 medalhas de ouro, 24 de prata e 17 de bronze. Ao todo, 331 medalhas foram concedidas na competição.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o sufixo “-íssima”, na palavra “altíssima” produz o sentido de",c,indicar intensidade.,"['apontar negação.', 'demonstrar origem.', 'indicar intensidade.', 'sugerir anterioridade.']",8° ano,SPAECE,Avaliação paraná
Resenhas – O Pequeno Príncipe,"[...] Que livro fantástico! Ele atende todos os públicos, ensina lições para qualquer idade e sua linguagem fácil colabora para isso. Ser criança é ver a vida de forma mais colorida, é sonhar e ter esperança de que irá realizar. É ter as brincadeiras e a imaginação como as grandes atividades do dia. Bem se fala que devemos ter a pureza e o coração de uma criança, pois elas veem além do superficial. Por isso, deixar que a nossa criança interior viva é nos permitir olhar além do que vemos. Permita-se apreciar os prazeres da vida e a desfrutar dos momentos que vivencia, assim, você perceberá que o essencial é invisível aos olhos, porque o que é bom é visto pelo coração. Cativa as relações adquiridas ao longo da caminhada e não se esqueça: todo adulto já foi uma criança cheia de sonhos. Você já realizou os seus?",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, na palavra “invisível”, o prefixo “in-” produz o sentido de",c,"marcar negação.
","['apontar intensidade.', 'indicar tamanho.', 'marcar negação.\r', 'sinalizar repetição.']",9° ano,SPACE,Avaliação paraná
Animais domésticos,"Olá, pessoal da CHC! Gostamos muito dos textos de divulgação científica. Gostaríamos que vocês publicassem uma reportagem sobre animais que vivem em sociedade. Alunos do 4º ano da E.M.E.F. Monsenhor João Telho. Ibapuã/SP. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Gostaríamos que vocês publicassem...” o verbo ""Gostaríamos"" produz o sentido de",c,indicar um desejo cuja ocorrência é incerta.,"['apontar uma ordem que precisa ser atendida.', 'exibir uma ação que ocorre no tempo presente.', 'indicar um desejo cuja ocorrência é incerta.', 'mostrar um fato que ocorrerá no tempo futuro.']",9° ano,SPACE,Avaliação paraná
