titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem,descritor_codigo
Astronautas compartilham progresso do crescimento de plantas no espaço,"Realizar pesquisas no espaço não é uma tarefa simples. Além das várias questões técnicas envolvidas no processo, os astronautas da Estação Espacial Internacional [...] precisam lidar com um desafio emocional: a saudade de casa. E, para enfrentar esse problema, um dos recursos utilizados são as plantas. Michael Hopkins, comandante da Crew-1, missão da Nasa e da SpaceX, explica que as plantas representam uma conexão com a Terra e, por isso, ele dedica parte do seu tempo à função de “jardineiro espacial”. Apesar de ter um valor sentimental para Hopkins, a ação também é importante do ponto de vista científico e contribui para experimentos da agência espacial estadunidense. Conhecido como Sistema de Produção Vegetal (ou Veggie), o programa da Nasa tem como objetivo estudar o crescimento de plantas sob microgravidade. A vantagem é clara: fornecer alimentos frescos aos astronautas e aprimorar o bem-estar psicológico da equipe durante a estadia no laboratório orbital. Em fevereiro, Hopkins iniciou os experimentos VEG-03K e VEG-03L e foi no mês de abril que os resultados surgiram. Foram testadas sementes de “Extra Dwarf Pak Choi” e “Amara Mustard”, que cresceram por 64 dias – o maior período já registrado na Estação Espacial Internacional para folhas verdes. [...] “Para nós, essa é uma missão cumprida”, afirma, em nota, Matt Romeyn, cientista que participa do projeto a partir do Kennedy Space Center, nos Estados Unidos. [...] O sucesso dos experimentos também traz boas notícias para as próximas missões. No caso das frutas, que deverão chegar ao espaço ainda esse ano, é necessário que haja uma polinização similar à realizada por Hopkins. Além disso, sementes de tomate serão enviadas em 2022. [...]",D05 - Identificar o tema ou assunto de um texto.,O tema desse texto é,d,o tempo gasto para o desenvolvimento de vegetais.,"['a dificuldade da realização de pesquisas no espaço.', 'a importância do consumo de alimentos frescos.', 'o sucesso de um projeto realizado por astronautas.', 'o tempo gasto para o desenvolvimento de vegetais.']",9° ano,SPACE,Avaliação paraná,2
O pardal que queria ser águia,"“Minhocas! Eca! Isso é comida para bebês!”, Tuco, o pequeno pardal, nunca deixa de irritar seus amigos. Um dia, ele vai visitar sua mãe e diz: “Eu, mais tarde, vou me tornar uma águia dourada!”, “Mas, querido, mais tarde você vai continuar sendo o que já é: um pequeno pardal” – explica-lhe a mãe. “Não, eu vou ser uma ave de rapina poderosa! Você vai ver! Além do mais, hoje à noite no jantar, vou comer um carneiro que eu mesmo vou pegar.” Ele voa sobre o campo próximo e começa a pairar sobre um rebanho de ovelhas. Vê uma bem gorda e crava suas unhas nas costas dela. “Quem está aí nas minhas costas?” – pergunta a ovelha. “Sou eu, o Tuco! Você está presa! Eu capturei você!” – disse com sua voz baixinha. “Quem é você? Eu não consigo nem vê-lo” – perguntou a ovelha, se divertindo. “Você é minha prisioneira agora!” – diz Tuco. Mas, de repente, ele escorrega e cai entre as pernas da ovelha. Ela inclina-se até ele: “Oh, oh! Vejam só, uma águia dourada!” E ela pega o pequeno pardal entre os dentes e o carrega de volta para sua mãe, dizendo: “Estou trazendo de volta a sua terrível águia.”. Ele nem consegue olhar para a mãe. Essa foi a primeira e única aventura de Tuco, a águia dourada!",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,O que fez com que essa história acontecesse?,c,Tuco querer ser uma águia.,"['Tuco caçar um carneiro.', 'Tuco irritar os seus amigos.', 'Tuco querer ser uma águia.', 'Tuco visitar sua mãe.\r']",6° ano,SPAECE,Avaliação paraná,10
Inda quero a amarelinha,"Quero “roubar a bandeira” quero pular a corda, quero ser o “boca de forno”, quero brincar de “quente ou frio” antes que o dia fique morno... Mas deixar a brincadeira sem pisar o pé na grama, inda sair sem dar um pio? – “Vamentrar” – disse mainha, “Tomar banho, escovar dente!” Pode crer [...], gente E eu nem morta vou pra cama!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, nos versos “inda sair sem dar um pio? / – ‘Vamentrar’ – disse mainha,” a linguagem utilizada é",a,falada em grupos de amigos.,"['falada em grupos de amigos.', 'própria de uma profissão.', 'utilizada em telejornais.', 'utilizada nos livros de Ciências.']",7° ano,SPAECE,Avaliação paraná,0
Dicionário de formas,"Era uma vez eu, Zé Sorveteiro, que me apaixonei por uma princesa que acabara de chegar do outro lado da Terra. Bolei para ela um dicionário de quatro palavras: bola, quadrado, retângulo, triângulo. Japonês se escreve com desenhos. Com desenhos a princesa aprenderia português! [...] Ia até meu carrinho e pedia, desenhando no ar: – Triângulo-bola. Sorvete na casquinha! O dicionário funcionava às maravilhas. Eu? Mandava bilhetes. Desenhava um quadrado com um triângulo em cima e escrevia: casa!!! Caprichava nos pontos de exclamação. Casa!!! Casa!!! Fácil de entender: casa comigo. Mas toda princesa tem uma fera para encontrar bilhetes. Uma hora a fera mandou me chamar. Aí… Aí eu transformei ponto de exclamação em sinal de aguaceiro: – Um traço com um pingo é chuva. Três -!!! – muita chuva. Casa, chuva, chuva, chuva. Estou só avisando… Cuidado com goteiras. [...] Hoje, 60 anos depois, repito, valeu a pena. E lá vou eu apanhar uns triângulos vermelhos para a minha rainha arrumar no triângulo do retângulo do quadrado da frente. Perfeito. Daqui a pouco a jarra da mesa da sala estará toda perfumada com os… Como é mesmo? Vá lá! Com os triângulos vermelhos.",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, o trecho que apresenta uma opinião é",c,“O dicionário funcionava às maravilhas.”.,"['“Era uma vez eu, Zé Sorveteiro, que me apaixonei...”.', '“Ia até meu carrinho e pedia, desenhando no ar:...”.', '“O dicionário funcionava às maravilhas.”.', '“Aí eu transformei ponto de exclamação em sinal de aguaceiro: ”.']",9° ano,SPACE,Avaliação paraná,7
Hilda Hilst fez livro ‘Eu Sou a Monstra’ para a ‘crionça’ Daniel,"Daniel nunca se incomodou em ser a única criança no meio de vários adultos, nem mesmo quando eles se reuniam à mesa, à noite, para conversar, [...] como muitos adultos fazem. Nestas situações, Daniel ficava junto, desenhando [...]. Agora que ele também virou um adulto, Daniel Fuentes, que tem 37 anos, conta que não só não achava ruim aquela época da infância, quanto até gostava que não houvesse “concorrência” – é que, sendo o único pequeno entre tanta gente grande, ele podia ser amado e mimado pela tia Hilda Hilst. Hilda foi uma grande escritora e poeta. [...] Ela morava na Casa do Sol, uma grande chácara em Campinas, no interior de São Paulo, cheia de cachorros. Como os pais de Daniel eram os melhores amigos de Hilda, o menino cresceu como se fosse seu sobrinho. [...] E foi para ele que a tia Hilda Hilst escreveu seu único livro infantil, chamado “Eu Sou a Monstra”, lançado agora pela editora Companhia das Letrinhas. “A Monstra era a Hilda, mas ela era uma monstra muita simpática”, explica. Escrito em forma de poema, o livro conta a história da personagem que tem “muitas caras”, “mil capas”, e que pode ser tudo que a imaginação do leitor quiser. “Ela fez de presente para mim quando eu tinha uns seis anos”, conta Daniel. [...] Além do privilégio de ter “Eu Sou a Monstra” escrito e dedicado só para ele, Daniel também tinha a sorte de receber outros carinhos de Hilda. “Ninguém me deu tantos presentes ao longo da vida.” “Eu tive várias fases. A fase do dinossauro, dos bonecos. E era só eu falar que estava gostando daquilo que ela me dava um monte de livro sobre o assunto, e a gente ficava conversando a respeito. Esse amor pelo conhecimento é a Hilda na minha vida.” [...]",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, há uma opinião no trecho:",c,"“‘A Monstra era a Hilda, mas ela era uma monstra muita simpática’, explica.”.","['“Ela morava na Casa do Sol, uma grande chácara em Campinas, no interior de São Paulo, cheia de cachorros.”.', '“Como os pais de Daniel eram os melhores amigos de Hilda, o menino cresceu como se fosse seu sobrinho.”. ', '“‘A Monstra era a Hilda, mas ela era uma monstra muita simpática’, explica.”.', '“‘Ela fez de presente para mim quando eu tinha uns seis anos’, conta Daniel.”. ']",6° ano,SPAECE,Avaliação paraná,7
"Filme produzido em MT alerta sobre as consequências do desequilíbrio ambiental no
mundo","O filme “Operação Ozônio”, que foi produzido em Mato Grosso, será exibido nesta segundafeira (29), no Cine Teatro Cuiabá. [...] O filme surgiu na sala de aula, em Primavera do Leste, a 244 km de Cuiabá. [...] A história começa em 2050, quando sete crianças voltam no tempo até o ano de 2021. O objetivo deles é auxiliar os pais, que neste momento ainda estão na infância, a proteger o meio ambiente. As emoções estão além das telas. Durante as filmagens, o diretor Bellamir Freire conta que viu os atores e seus pais sonharem juntos e se emocionarem. “O que achei incrível foi acompanhar a emoção das crianças e dos pais delas durante as filmagens. Eles choravam, se emocionavam e sonhavam juntos”, conta. O filme foi gravado nos municípios de Chapada dos Guimarães, Barra do Garças, Primavera do Leste e no Pantanal Mato­grossense. [...]",D03 - Inferir o sentido de uma palavra ou expressão.,"Nesse texto, no trecho “O filme surgiu na sala de aula...” a palavra ""surgiu"" significa",b,nasceu.,"['chegou.', 'nasceu.', 'passou.', 'voltou.']",6° ano,SPAECE,Avaliação paraná,6
Cubo mágico: filme sobre o brinquedo está sendo desenvolvido!,"[...] um filme sobre o cubo mágico, um dos brinquedos mais famosos do mundo, está sendo desenvolvido [...]. Detalhes da produção não foram divulgados e estão sendo mantidos em segredo! O filme [...] ainda não tem previsão de estreia. Vamos aguardar! Para quem não sabe, o cubo mágico foi criado em 1974 pelo arquiteto e escultor húngaro Erno Rubik e até hoje já foram vendidos mais de 450 milhões de cubos mágicos ao redor do mundo. EITA! [...]",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, na expressão “EITA!” o ponto de exclamação produz o sentido de",c,mostrar admiração.,"['demonstrar saudade.', 'indicar deboche.', 'mostrar admiração.\r', 'revelar irritação.\r']",6° ano,SPAECE,Avaliação paraná,12
Caçadora de gigantes,"Bárbara Thorson é uma garota rebelde e solitária que prefere o mundo de calabouços e dragões ao mundo real. Ao passar por uma série de maus tratos na escola, seu comportamento muda e a vida que sempre imaginou se torna real. Logo ela se vê enfrentando seus medos da pior maneira e fica obcecada com o que acredita ser sua missão: matar gigantes. PAÍS DE ORIGEM: BÉLGICA/CHINA/EUA/GRÃ-BRETANHA/ ANO DE PRODUÇÃO: 2018 GÊNERO: DRAMA, FANTASÍA, SUSPENSE DURAÇÃO: 106 CENSURA: 10","D17 - Reconhecer o sentido das relações lógico-discursivas marcadas por conjunções, advérbios etc.","No trecho “...o mundo de calabouços e dragões...” o termo ""e"" estabelece uma relação de",a,adição.,"['adição.', 'causa.', 'comparação.', 'oposição.']",9° ano,SPAECE,Simulado 01 SPAECE,1
Greg e o passarinho,"Ontem à tarde, Greg foi ao bosque para juntar cogumelos. Depois de ter recolhido alguns, resolveu voltar para que a mãe fizesse uma omelete para o jantar. No caminho de retorno, ele achou um passarinho caído do ninho, parecendo ter a pata machucada. Greg o envolveu em sua blusa. Chegando à sua casa, ele mostrou o passarinho ao papai e à mamãe: “Olhem, ele está ferido. Precisamos tratá-lo!”. “Venha” – disse a mãe – “Vamos fazer uma caminha para ele [...]. Você lhe dará um pouco do miolo de pão ensopado na água.” Nesta manhã, o passarinho parecia totalmente reavivado. Greg o levou até o seu ninho e depois foi para a escola com pena, porque queria ficar com o passarinho em casa, talvez, numa gaiola. “Não” – pensou o menino – “Foi melhor assim, pois o bichinho ficaria infeliz demais.” Depois da aula, Greg [...] viu o pássaro bem pertinho, sobre um portão. Greg parou, pensando que o animal ia fugir, mas não. O pássaro pulou [...] bastante contente. Greg se aproximou [...] e teve uma ideia. Na sua bolsa, sobrara ainda um pouco do seu lanche. Ele esmigalhou o pão e estendeu sua mão aberta. O passarinho hesitou, virou-se, e então, depressa, bicou uma migalha minúscula antes de sair voando para um galho baixo.",D01 - Localizar informações explícitas em um texto.,"De acordo com esse texto, depois da aula, Greg deu ao passarinho",d,pão.,"['água.', 'cogumelo.', 'omelete.', 'pão.']",6° ano,SPAECE,Avaliação paraná,9
Tamoios no Arpoador,"[...] Convidado a escrever sobre um canto do Rio, escolhi o Arpoador, porque de lá se costuma desfrutar deslumbrantes entardeceres. Os termômetros marcavam quase 40º [...]. Sentado nas pedras, apreciava o Sol refletir com tal intensidade sobre o mar espelhado que devo ter experimentado aquela ilusão ótica que no deserto se chama miragem.Agente entra num clima onírico1 e acredita ver o que não existe. De repente, senti uma urgência febril de dividir aquele espetáculo mágico com alguns personagens que cantaram e encantaram o Rio. A primeira aparição foi de Millôr, que veio correndo pela areia [...]. Passou pelo largo que agora leva o seu nome, subiu até onde eu estava e repetiu uma de suas geniais definições: “O pôr do sol é de quem olha”. Em seguida, foi a vez de Tom e Vinicius, que atravessaram o Parque Garota de Ipanema carregando o violão. [...] Finalmente, vindo de Copacabana, chegou Oscar Niemeyer, trazendo nos olhos as curvas [...] dos morros cariocas com que fez sua arquitetura. Como não podia deixar de ser, a conversa girou em torno dessa cidade solar, [...] exibida que nasceu para ser musa. [...] Era ainda uma criança quando um de seus adoradores, o primeiro governador-geral Tomé de Souza, se desmanchou: “Tudo é graça o que dela se pode dizer”. Alguém lembrou que até os religiosos lançaram sobre ela olhares [...]: “É a mais airosa e amena baía que há em todo o Brasil”, suspirou o padre Anchieta [...]. Estimulado pela exuberância sensorial daquela tarde, resolvi corrigir Vinicius, que dizia que ser carioca é um estado de espírito. Acho que é mais. Não se trata apenas de alma, mas de corpo e alma. Ama-se a cidade com todos os sentidos, a começar pelos olhos. [...] Segundo Tom, que transformou em música tudo isso [...] é uma herança de nossos antepassados tamoios, que nos ensinaram a curtir a água, o corpo, a música e a dança. O Sol já estava sendo rendido no seu plantão diário [...]. Foi quando chegou Cazuza para fazer parte do show. Antes de dar um mergulho, cantou: “Vago na lua deserta das pedras do Arpoador”. Nunca me senti tão tamoio quanto nesse fim de tarde, início de noite nas pedras mágicas do Arpoador.",D01 - Localizar informações explícitas em um texto.,"De acordo com esse texto, a primeira pessoa a aparecer para o narrador foi
",a,Millôr.,"['Millôr.', 'Oscar Niemeyer.', 'Tomé de Souza.', 'Cazuza.']",9° ano,SPACE,Avaliação paraná,9
-,"Aquelas férias com os sobrinhos tinham sido maravilhosas. Embora os garotos viessem de vez em quando passar uns dias lá no sítio, nada se comparava àquelas férias de julho [...]. Eles visitaram as belas fazendas da região. Passearam a cavalo. Pescaram, andaram pelos pastos e pelos cafezais e se divertiram à beça. [...] Como as noites de julho estavam muito frias, os tios resolveram colocar os moleques para dormirem todos juntos. Assim eles poderiam se aquecer melhor. O irmão do meio contou que durante a noite ele acordou assustado porque o irmão mais novo despertou feito um maluco e gritava desesperadamente: – Socorroooo! Eu não estou sentindo a minha pernaaaa! Eu perdi a minha perna! Eu belisco a minha perna e não sinto nadaaaa! Foi quando o irmão mais velho resmungou irritado: – Vai dormir, garoto! Você vai ver se continuar a beliscar a minha perna!",D01 - Localizar informações explícitas em um texto.,"No final dessa história, o irmão mais velho",b,ficou irritado com o irmão mais novo.,"['decidiu dormir sozinho.', 'ficou irritado com o irmão mais novo. ', 'precisou chamar os tios para ajudar. ', 'teve pena do irmão mais novo.\r']",6° ano,SPAECE,Avaliação paraná,9
ABC,"Quando a gente aprende a ler, as letras, nos livros, são grandes. Nas cartilhas – pelo menos nas cartilhas do meu tempo – as letras eram enormes. Lá estava o A, como uma grande tenda. O B, com seu grande busto e sua barriga ainda maior. O C, sempre pronto a morder a letra seguinte com a sua grande boca. O D, com seu ar próspero de grão-senhor. Etc. Até o Z, que sempre me parecia estar olhando para trás. Talvez porque não se convencesse que era a última letra do alfabeto e quisesse certificar-se de que atrás não vinha mais nenhuma. As letras eram grandes, claro, para que decorássemos a sua forma. Mas não precisavam ser tão grandes. Que eu me lembre, minha visão na época era perfeita. Nunca mais foi tão boa. E no entanto os livros infantis eram impressos com letras graúdas e entrelinhas generosas. E as palavras eram curtas. Para não cansar a vista. À medida que a gente ia crescendo, as letras iam diminuindo. E as palavras, aumentando. Quando não se tem mais uma visão de criança é que se começa, por exemplo, a ler jornal, com seus tipos miúdos e linhas apertadas que requerem uma visão de criança. Na época em que começamos a prestar atenção em coisas como notas de pé de página, bulas de remédio e subcláusulas de contrato, já não temos mais metade da visão perfeita que tínhamos na infância [...]. Chegamos à idade de ler grossos volumes em corpo 1 6 quando só temos olhos para as letras gigantescas, coloridas e cercadas de muito branco, dos livros infantis. Quanto mais cansada a vista, mais exigem dela. Alguns recorrem à lente de aumento para seccionar as grandes palavras em manejáveis monossílabos infantis. [...] O E, que sempre parecia querer distância das outras. O R! Todas as letras tinham pé, mas o R era o único que chutava. O V, que aparecia em várias formas: refletido na água (o X), de muletas (o M), com o irmão siamês (o W). O Q, que era um O com a língua de fora. De tanto ler palavras, nunca mais reparamos nas letras. E de tanto ler frases, nunca mais notamos as palavras, com todo o seu mistério. Por exemplo: pode haver palavra mais estranha do que “esdrúxulo”? É uma palavra, sei lá. Esdrúxula. [...] As cartilhas, com sua alegre simplicidade, serviam para dissimular os terrores que a língua nos reservava. Como “esdrúxulo”. Para não falar em “autóctone”. Ou, meu Deus, em “seborreia”! Na verdade, acho que as crianças deviam aprender a ler nos livros do Hegel e em longos tratados de metafísica. Só elas têm a visão adequada à densidade do texto, o gosto pela abstração e tempo disponível para lidar com o infinito. E na velhice, com a sabedoria acumulada numa vida de leituras, com as letras ficando progressivamente maiores à medida que nossos olhos se cansavam, estaríamos então prontos para enfrentar o conceito básico de que vovô vê a uva, e viva o vovô. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Na época em que começamos a prestar atenção em coisas como [...] subcláusulas de contrato,...” o uso de “sub” na palavra ""subcláusulas""",d,reforça o fato de a letra ser minúscula.,"['apresenta uma crítica às cartilhas infantis.', 'marca a área em que o narrador trabalha.', 'mostra a saudade do narrador da infância.', 'reforça o fato de a letra ser minúscula.']",9° ano,SPACE,Avaliação paraná,4
Viagem a Brobdingnag,"[...] Os primeiros 20 dias de viagem não foram muito calmos, pois os ventos fortes dificultavam as operações de bordo e a manutenção da rota. Na madrugada do 21º dia, o Aventura foi atingido por uma violenta tempestade que, embora tenha durado horas, foi suficiente para fazer com que perdêssemos nossa localização no mapa. O dia seguinte amanheceu claro e bonito. Logo avistamos, ao sul, alguns rochedos, que poderiam pertencer a uma ilha ou mesmo a um continente. Como já se esgotava nossa água potável, o comandante ordenou a 12 homens que tomassem um bote e procurassem fontes ou rios; talvez até achassem alguém que nos informasse sobre nossa localização. [...] Foi um pouco custoso alcançar a praia, por causa dos recifes enormes e pontiagudos. Quando, finalmente, chegamos, resolvemos nos separar. Eu, com minha experiência, iria por um lado e os outros homens pelo outro, até nos encontrarmos no ponto de partida [...]. Andei bastante tempo sem encontrar vestígio de água. Decidi voltar para ver se os marinheiros tinham tido melhor sorte. Quase próximo ao lugar combinado, olhei para o mar e vi meus companheiros no bote, afastando-se rapidamente da praia em direção ao navio. Eles haviam me esquecido em terra! Comecei a chamá-los: – Esperem! Estou aqui! Porém, meu último grito ficou preso na garganta e meu olhar fixo na figura de um homem de mais ou menos 20 metros de altura, que ia no encalço do bote e do Aventura [...]. Dei meia-volta e saí em disparada pelo mesmo caminho que acabara de percorrer. [...]",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"No trecho “Quando, finalmente, chegamos, resolvemos nos separar.” a palavra ""finalmente"" foi usada para",d,sugerir demora.,"['apresentar uma deboche.', 'indicar desespero.', 'marcar uma característica.', 'sugerir demora.']",9° ano,SPACE,Avaliação paraná,14
